,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17
,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes,NewVotes,Status,TotalVotes
"Williamson, James M. ",74, CONTINUING,74,2, CONTINUING,76,2, DEFEATED -- 3rd count,78,-78, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0
"Peden, Ronald ",49, CONTINUING,49,0, DEFEATED -- 2nd count,49,-49, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
"Moree, Gregg J. ",38, CONTINUING,38,1, DEFEATED -- 2nd count,39,-39, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
Write-In 1 ,14, CONTINUING,14,0, DEFEATED -- 2nd count,14,-14, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
Write-In 2 ,2, CONTINUING,2,0, DEFEATED -- 2nd count,2,-2, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
Write-In 3 ,0, CONTINUING,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
Write-In 4 ,0, CONTINUING,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
Write-In 5 ,0, CONTINUING,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
Write-In 6 ,0, CONTINUING,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
Write-In 7 ,0, CONTINUING,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
Write-In 8 ,0, CONTINUING,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
Write-In 9 ,0, CONTINUING,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
EXHAUSTED PILE: ,0, ,0,0, ,0,31, ,31,7, ,38,11, ,49,11, ,60,4, ,64,12, ,76,37, ,113,95, ,208,31, ,239,45, ,284,199, ,483,75, ,558,138, ,696,296, ,992,776, ,1768
